text,label
as a woman you shouldnt complain about cleaning up your house amp as a man you should always take the trash out,"[0, 0, 1]"
boy dats coldtyga dwn bad for cuffin dat hoe in the st place,"[1, 0, 0]"
dawgyou ever fuck a bitch and she start to cry you be confused as shit,"[1, 0, 0]"
she look like a tranny,"[1, 0, 0]"
the shit you hear about me might be true or it might be faker than the bitch who told it to ya ,"[1, 0, 0]"
the shit just blows meclaim you so faithful and down for somebody but still fucking with hoes ,"[1, 0, 0]"
i can not just sit up and hate on another bitch i got too much shit going on,"[1, 0, 0]"
cause im tired of you big bitches coming for us skinny girls,"[1, 0, 0]"
amp you might not get ya bitch back amp thats that ,"[1, 0, 0]"
hobbies include fighting mariam bitch,"[1, 0, 0]"
keeks is a bitch she curves everyone lol i walked into a conversation like this smh,"[1, 0, 0]"
murda gang bitch its gang land ,"[1, 0, 0]"
so hoes that smoke are losers yea go on ig,"[1, 0, 0]"
bad bitches is the only thing that i like ,"[1, 0, 0]"
bitch get up off me ,"[1, 0, 0]"
bitch nigga miss me with it ,"[1, 0, 0]"
bitch plz whatever ,"[1, 0, 0]"
bitch who do you love ,"[1, 0, 0]"
bitches get cut off everyday b ,"[1, 0, 0]"
black bottle amp a bad bitch ,"[1, 0, 0]"
broke bitch cant tell me nothing ,"[1, 0, 0]"
cancel that bitch like nino ,"[1, 0, 0]"
cant you see these hoes wont change ,"[1, 0, 0]"
fuck no that bitch dont even suck dick the kermit videos bout to fuck ig up,"[1, 0, 0]"
got ya bitch tip toeing on my hardwood floors ,"[1, 0, 0]"
her pussy lips like heaven doors ,"[1, 0, 0]"
hoe what its hitting for ,"[1, 0, 0]"
i met that pussy on ocean dr i gave that pussy a pill ,"[1, 0, 0]"
i need a trippy bitch who fuck on hennessy ,"[1, 0, 0]"
i spend my money how i want bitch its my business ,"[1, 0, 0]"
i txt my old bitch my new bitch pussy wetter ,"[1, 0, 0]"
id say im back to the old me but my old bitches would get excited ,"[1, 0, 0]"
if you aint bout that murder game pussy nigga shut up ,"[1, 0, 0]"
if youre toes aint done you pussy stinks ,"[1, 0, 0]"
im done with bitter bitches its a wrap for that if you a angry bird theres a app for that ,"[1, 0, 0]"
is that ya bitch ,"[1, 0, 0]"
it aint nothing to cut a bitch off ,"[1, 0, 0]"
jus meet son now he ya mane ass bitches shots,"[1, 0, 0]"
lames crying over hoes thats tears of a clown ,"[1, 0, 0]"
like snoop said in we dont love these hoes ,"[1, 0, 0]"
momma said no pussy cats inside my doghouse ,"[0, 0, 1]"
most hated but the hoes favorite mw sevenone ,"[1, 0, 0]"
nice girls bad make me get naughty bad yello hoe real nice body down south chick like em real thick ,"[1, 0, 0]"
pimps up pimps up hoes down future voice,"[1, 0, 0]"
post a picture of that pussy get likes ,"[1, 0, 0]"
pussy is a powerful drug happyhumpday ,"[1, 0, 0]"
quick piece of pussy call it a drive by ,"[1, 0, 0]"
running round here like some brand new pussy thats bout to get fucked ,"[1, 0, 0]"
these bitches even worst theyll send them guys for you ,"[1, 0, 0]"
these hoes like niggas that spend money not talk bout it ,"[1, 0, 0]"
we dont trust these niggas all these bitches ,"[1, 0, 0]"
yall niggas b cuffing hoes cause yall aint never have bitches ,"[1, 0, 0]"
you dodge a bulletall da bitches i cut off pregnant or bound to be thank god ,"[1, 0, 0]"
young pill chamberlain these bitches love my music ,"[1, 0, 0]"
teanna trump probably cleaner than most of these twitter hoes but,"[1, 0, 0]"
gay niggas couldnt wait to act like bitches tonight,"[1, 0, 0]"
and ima steal his cat n replace it with a pitbull he a bitch you should do it,"[1, 0, 0]"
amp hes gone always be a hoe,"[1, 0, 0]"
son of a bitch took my tic tacs i like this movie,"[1, 0, 0]"
all i wanna do is get money and fuck model bitches russell simmons,"[1, 0, 0]"
i probably wouldnt mind school as much if we didnt have to deal with bitch ass teachers retweet,"[1, 0, 0]"
im a fucking fag they said,"[1, 0, 0]"
females think dating a pussy is cute now how does doing this stuff make him a pussy,"[1, 0, 0]"
simplyaddictedtoguys woof woof hot scally lad,"[0, 0, 1]"
have ya ever asked your bitch for other bitches kanye voice yes,"[1, 0, 0]"
how u gone bring ur side bitch to a game where you know ya gf friends at i swear,"[1, 0, 0]"
woof woof and hot soles,"[0, 0, 1]"
lemmie eat a oreo amp do these dishes one oreo lol,"[0, 0, 1]"
bitch fuck u maybe youll get better just ,"[1, 0, 0]"
fuck red malone man bitch ass niggah could you please use complete sentences,"[1, 0, 0]"
why the eggplant emoji doey he say she looked like scream lmao,"[0, 0, 1]"
hennessey venom gt thats one sexy bitch,"[1, 0, 0]"
him seh me pussy wetter then a shower curtainahmesehwetnessltlmao,"[1, 0, 0]"
eaglesnation and every eagles need to see that pic i just posted because that bitch just said the most racist shit,"[1, 0, 0]"
yo fuck skateboarding all yall some wood pushing faggots man ball is life @amjemiebenn,"[1, 0, 0]"
baby monkey bathtime awwwwe this is soooo adorable,"[0, 0, 1]"
i aint shit damn skippy lol,"[1, 0, 0]"
u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussyno bs must b gtchance,"[1, 0, 0]"
rings mvps bitches lol,"[1, 0, 0]"
ppl talk bad about the ghettohood but as a kid growing up a nigga had funnnnnnn ,"[1, 0, 0]"
the facts on tattoostattoo hes a pussy with not tattooing them nipples,"[1, 0, 0]"
bitches be wanting to act like niggas so bad that shit aint cuteeeee but niggas act like bitches,"[1, 0, 0]"
get worshiping bitch woof woof,"[1, 0, 0]"
wowim lost are those buttcheek piercings yeah shes a hoe,"[1, 0, 0]"
ok sis shed rather be a broke bitch shrugs shell have to tell me how it works for her,"[1, 0, 0]"
queer gaywad,"[0, 1, 0]"
faggot read my tweets after dat k it wasnt even funny lol,"[1, 0, 0]"
this bitch was so ungrateful fr lulwhore,"[1, 0, 0]"
i been kidnapped yo bitch,"[1, 0, 0]"
alsarabsss hes a beaner smh you can tell hes a mexican,"[0, 1, 0]"
happy birthday nigs thanks yo,"[1, 0, 0]"
when ur teacher tells u that u have homework this bitch need to go,"[1, 0, 0]"
that nigga was eating that hoe lol hell yea lol john paul nigga said john paul ,"[1, 0, 0]"
what would yall lil ugly bald headed bitches do if they stop making makeup amp weave,"[1, 0, 0]"
leafs better win this damn game so i can go riot and shit earlychristmas you better start looting my nig,"[1, 0, 0]"
going back to school sucks more dick than the hoes who attend it,"[1, 0, 0]"
on my way to fuck yo bitch me as a year old,"[1, 0, 0]"
how come you never bring me food i dont have a car retard,"[1, 0, 0]"
if richnow doesnt show up with hella tinder hoes im not his friend anymore chill i brought like like prople,"[1, 0, 0]"
how bout them cowboys shutup pussy,"[1, 0, 0]"
lmaooooooooooo this niggaltbitch want likes for some depressing shitfoh,"[1, 0, 0]"
girl you know i was spitting that g shit to you amp you was going lbvsbitch plz,"[1, 0, 0]"
let me make a couple tweets off cuzzo page so i wont get in twitter jaillmao bitch dont trick me again,"[1, 0, 0]"
harlem shake is just an excuse to go full retard for seconds,"[1, 0, 0]"
amen miley but she dont need to act like a hoe just bc shes emotionally damaged foh,"[1, 0, 0]"
having one loyal female is wayyyyy better than having hoes idc ,"[1, 0, 0]"
pussy licking pussy meow meow stopwhitepeople ,"[1, 0, 0]"
check out our th man cowboysnation even with all those faggot ny fans in the stands,"[1, 0, 0]"
what happen to them vixen ent bitches they got ran and threw to the side like a foothill bitch,"[1, 0, 0]"
im the bitch okay nudes pat wow,"[1, 0, 0]"
youre fucking gay blacklisted hoe holding out for tehgodclan anyway ,"[0, 1, 0]"
the fuck be wrong with these bitches nobody knows,"[1, 0, 0]"
yall shut upp make me bitch,"[1, 0, 0]"
i hate a im pregnant type of bitch,"[1, 0, 0]"
got bitches in the dm but i dont ever readem which is y your top ,"[1, 0, 0]"
baseball season for the win yankees this is where the love started,"[0, 0, 1]"
little stupid as bitch i dont fuck with yoooooouuuu,"[1, 0, 0]"
she really asked me that dead ass serious tho all i could say was bitch wheet lol,"[1, 0, 0]"
im an early bird and im a night owl so im wise and have worms,"[0, 0, 1]"
overdosing on heavy drugs doesnt sound bad tonight i do that pussy shit every day,"[0, 0, 1]"
pit bulls photographed as lovely fairy tale creatures they are fairy tale creatures,"[0, 0, 1]"
aw fag dont tweet aw to me lol,"[1, 0, 0]"
as long as the lakers trash from now on i could careless and thats real cchahaha,"[0, 0, 1]"
i didnt say anything tho kiss me then faggot,"[1, 0, 0]"
this the i play soccer cheat on girls and wear khaki coloured cargos haircut yup,"[0, 0, 1]"
i could go for a fat ass bitch on my lap same,"[1, 0, 0]"
missed calls das yo po bitch twitter finna be screamn freemoneymelle,"[1, 0, 0]"
ya side bitch gotta know its rules to this shitanybody ask you my cousin from jersey thinkin bout moving lmmfao ,"[1, 0, 0]"
amo los pies fuck yeah,"[1, 0, 0]"
these hoes be thinking meat wont slap they ass ainna bruh,"[1, 0, 0]"
yall bitches wit no edges be doing the most talking ,"[1, 0, 0]"
yall still going trick or treating this year or nahhell yeah ima be da sweet tooth bandit steal bitches bags n shit,"[1, 0, 0]"
i wanna have sex with my mom fuck her right in that pussy where i came from damn you got hacked like fuck,"[1, 0, 0]"
if she kiss u with her eyes open watch that bitchlmfao,"[1, 0, 0]"
you a woulda coulda shoulda ass hoe ,"[1, 0, 0]"
happy bday bitch ass niggathat bitch roll up,"[1, 0, 0]"
used to send that bitch up,"[1, 0, 0]"
ugly bitches be like im my own wcw duh bitch you aint nobody elses,"[1, 0, 0]"
nigga you know we hacky sack hoes nah i throw no look passes lmao,"[1, 0, 0]"
glad im getting outta atlanta nothing but a bunch of niggas in amp outta jail amp dumb bitches with mad kids fuckin em,"[1, 0, 0]"
this isnt ghettoits smart im doing this idc,"[0, 0, 1]"
i would wife a hoe only cuz we wouldnt care that we cheating in each other why force the relationship in the first place,"[1, 0, 0]"
being single isnt an excuse to be a hoe @theonemiss_luu,"[1, 0, 0]"
white boy power bitch black power bitch,"[1, 0, 0]"
lets get drunk get blowed spit shit spark blunts amp fuck hoes bro white dudes have no chill,"[1, 0, 0]"
bitch where u been around the world and back where you been,"[1, 0, 0]"
if i dont get my dick sucked at yo party by a bad bitch im fr gone set it off by,"[1, 0, 0]"
oomf is soooo cute but he probably has hoes on him a lot,"[1, 0, 0]"
in every cartoon theirs alway asaving these hoes lmao lmao damn captain saveahoe,"[1, 0, 0]"
who wants to get there nose in these bad bois then scally chav sockfetish stinking hot sox and legs,"[0, 0, 1]"
i wish i was a bitch like my brother keezy ooooow i bet you do,"[1, 0, 0]"
if you dressed up as a cat for halloween you are basic or a pussy,"[1, 0, 0]"
can pornhub just get a gaming stream feature so these dumb bitches can gtfoget on it katielt,"[1, 0, 0]"
stop being scared to choke her during sex u bitch ass niggas shell like it says the guy who hits women out of bed foh,"[1, 0, 0]"
ha well iguess i make them hoes loyal bro theyll never be loyal that y they hoes my nig,"[1, 0, 0]"
oh man its am you off a molly ho where the fuck ya seed at fixed,"[1, 0, 0]"
youre not a man if you refer to every girl as a bitch,"[1, 0, 0]"
lmfao this cat started beating the shit out of me my nigga finally got some pussy my nigga,"[1, 0, 0]"
peel up peel up bring it back up rewind back where im from they move shaq from the line ooooow who tf said that trash,"[0, 0, 1]"
io io alu record ho vine sai pe hahahaha lol anywaaaaaays haha,"[1, 0, 0]"
naw its my old tape new cover my upcoming mixtape is kingofthehill yeah im waiting on that hoe mayne,"[1, 0, 0]"
ol dirty foot ass bitches this was too funny to me,"[1, 0, 0]"
thats where i get my yellow flags for being amazing hell yeah niggy,"[1, 0, 0]"
dont got time for bitches to be actin iffy,"[1, 0, 0]"
ucfpinkparty come on stay alive knights nation this is still the early bird special comeatmeut,"[0, 0, 1]"
these hoes aint loyal no they aint smfh amp wonder why nobody decent wants them,"[1, 0, 0]"
bruh you studs keep thinking im soft as hell ask ya girl how many times she screamed she was my bitch oh okay stfu bye hoe,"[1, 0, 0]"
dry pussy bitches always blame it on the condom,"[1, 0, 0]"
shut yo bitch ass up ,"[1, 0, 0]"
gucci mane in jail and dropping mixtapes every month and you hoes cant even text back,"[1, 0, 0]"
you love these hoes more then money wats wrong these niggas,"[1, 0, 0]"
a loyal bitch from the burbs without daddy issues is like finding a holographic mewtwo sounding like me over there lol,"[1, 0, 0]"
easy cum easy hoe thats a fact ,"[1, 0, 0]"
charlie sheen is too real major fucking respect for charlie sheen,"[1, 0, 0]"
wish i had a bae you got all the hoes tho,"[1, 0, 0]"
fuck twerking bitch can you cook ,"[1, 0, 0]"
bitch wtf ,"[1, 0, 0]"
shut up zoe fight me pussy for zoe im good man you are good maam move along now,"[1, 0, 0]"
lmao fucking snake bitches @ em,"[1, 0, 0]"
big booty hoes everywhere sheesh damn ,"[1, 0, 0]"
stay tuned tofor an update on the report thatbwill be out weeksbum,"[0, 0, 1]"
i play soccer cheat on girls and wear khaki coloured cargos haircut yes lmfao@soccerboy_,"[0, 0, 1]"
oregon chokes every year get off the field trash ass program rft,"[1, 0, 0]"
def not cowboy lolterrell owens was the best eagle amp cowboy ever dude cried like a bitch on tv over romo,"[1, 0, 0]"
lmfaoooo i hate black people this is why theres black people and niggers,"[0, 1, 0]"
how could u do this to me bitch potent,"[1, 0, 0]"
a pissed lad past out i would lick his dirty soles while he slept,"[0, 0, 1]"
love frat boy w soft long soles,"[0, 0, 1]"
sexy lad with hot soles and arches,"[0, 0, 1]"
nah fam i gotta cheat with the hoes depends on the female i feel,"[1, 0, 0]"
i got hicks lol,"[0, 0, 1]"
this new twitter is confusing the shit out of me go back to south america bitch,"[1, 0, 0]"
toto means ass or vaginai think pussy cause toto santi is like nasty pussy,"[1, 0, 0]"
but what if he actually does choose the ugly bitch over you her ass must be fat,"[1, 0, 0]"
bitch couldnt kill my vibe if ya tried dis why i love miley ,"[1, 0, 0]"
im tired of bitches saying i look mean nigga you big af wear tight shirts and grim everybody,"[1, 0, 0]"
birds your grandkids may never see thanks to climate change climate,"[0, 0, 1]"
stay beautiful you bitch,"[1, 0, 0]"
wutkinda r purple ceeeleeeman this gurl was jus playin on the stupid hoe track but in still shitted on sum gurls,"[1, 0, 0]"
money getting taller and bitches getting blurry,"[1, 0, 0]"
i aint never seen a bitch so obsessed with they nigga im obsessed with mine ,"[1, 0, 0]"
kobe stay talking trash but lets not forgeti meant to do this one smh,"[1, 0, 0]"
at least im not a nigger lmfao,"[0, 1, 0]"
people always asking me what im mixed with she a bad asian bitch lol,"[1, 0, 0]"
ariza is a snake and a coward but at least he isnt a cripple like your hero roach lmaoo,"[0, 1, 0]"
fosters home for imaginary trash whoa chill that show was everything tf,"[0, 0, 1]"
i am lowkey tired if you tired be quiet and go to sleep hoe,"[1, 0, 0]"
